"01p07nea","06p07nea","94p07nea"
-0.438965976,-0.355672359,-0.576003313
-0.508580923,-0.29077208,-0.55666244
-0.538660705,-0.222055137,-0.485868335
-0.528110385,-0.148039162,-0.36142832
-0.474920332,-0.065895796,-0.172564268
-0.379502594,0.028612509,0.061106265
-0.257318914,0.122868001,0.271891892
-0.12256664,0.205591261,0.433440864
0.015324891,0.268470526,0.528769493
0.145759284,0.315158784,0.550669193
0.250133038,0.342400849,0.47695148
0.297382414,0.342383265,0.326215327
0.273609638,0.313890636,0.167553306
0.188524425,0.261589646,0.064577579
0.092426121,0.205166221,0.057585001
0.031149924,0.176351011,0.157169461
0.008242726,0.193758607,0.275443554
0.005094405,0.230630338,0.323233068
0.01161465,0.236217618,0.276426017
0.040340781,0.195868254,0.152684152
0.10429132,0.12914443,0.008589067
0.181146026,0.065902412,-0.072626591
0.223215044,0.041440159,-0.072356403
0.193185508,0.031776857,-0.054147303
0.117647409,0.01553987,-0.040209856
0.030845076,-0.009098858,-0.035996258
-0.055526599,-0.043084953,-0.10948652
-0.14204663,-0.087806106,-0.218966603
-0.208289266,-0.131179333,-0.264123499
-0.248266816,-0.140949368,-0.259458601
-0.264333904,-0.162429214,-0.233424783
-0.283163428,-0.232285917,-0.247992694
-0.322073102,-0.337114215,-0.342127502
-0.364474058,-0.453349948,-0.471608877
-0.415719509,-0.529913068,-0.542467654
-0.473661005,-0.543942273,-0.528405964
-0.488310516,-0.481514812,-0.436942637
-0.366423368,-0.296671093,-0.20066458
-0.065062642,0.026284277,0.148918569
0.357670009,0.415197492,0.538325965
0.77154243,0.752367079,0.835715055
1.033554077,0.970192552,0.968344092
1.06569767,1.005233765,0.939864159
0.896298289,0.865522265,0.701944828
0.623303831,0.552402377,0.363762677
0.317462802,0.120526433,0.006435275
0.00233236,-0.280252934,-0.372520566
-0.249603629,-0.561767697,-0.586633444
-0.372034132,-0.616554379,-0.583778858
-0.355605125,-0.470888317,-0.353914976
-0.244246185,-0.23300457,-0.010190099
-0.128823817,0.01209563,0.228384256
-0.021822721,0.137052715,0.337084055
0.022933103,0.101118922,0.284447014
-0.028553791,-0.071902931,0.037102178
-0.167296112,-0.302012861,-0.289070606
-0.347022593,-0.499414504,-0.534557223
-0.504348993,-0.588573873,-0.624807715
-0.607513905,-0.55738163,-0.545074582
-0.583020866,-0.388573766,-0.366543591
-0.413867116,-0.121750236,-0.046006173
-0.126239419,0.173013866,0.241125166
0.222390532,0.434239089,0.374073267
0.563906252,0.636369467,0.540008664
0.783541083,0.797357082,0.597472072
0.80615449,0.821166635,0.516749144
0.631956458,0.66820848,0.301493227
0.310466349,0.404436588,0.018190313
-0.034429371,0.079341233,-0.205738425
-0.298495948,-0.228763878,-0.358312309
-0.397777081,-0.401127696,-0.373727262
-0.340349793,-0.419139028,-0.326736033
-0.202471316,-0.315378904,-0.289747834
-0.0683164,-0.206383467,-0.259822011
0.010912761,-0.151473284,-0.171218336
0.020039916,-0.137657046,-0.033653706
-0.018420801,-0.16468066,0.068129301
-0.059972808,-0.196130395,0.129421234
-0.075309873,-0.212598324,0.140370429
-0.065310419,-0.108551443,0.09761101
-0.018446296,0.058965847,0.102359056
0.042983018,0.25011915,0.12764132
0.11983192,0.339029849,0.227875412
0.210350037,0.31316191,0.365775287
0.222488284,0.265350819,0.356280506
0.163529098,0.184419453,0.194670796
0.00950212,0.118014872,-0.103039324
-0.165390491,0.002485771,-0.322882175
-0.282166481,-0.093142152,-0.441216409
-0.300490201,-0.192032695,-0.385911942
-0.224196374,-0.181110144,-0.240264654
-0.121804893,-0.090534508,-0.108937502
-0.031230852,0.054292887,-0.008382127
-0.002394818,0.252145231,0.006185159
0.049439162,0.326793551,0.024938434
0.150731027,0.397997975,0.100623012
0.302590132,0.416578293,0.262219727
0.425515056,0.451475799,0.400980115
0.401939571,0.360273898,0.360342205
0.21226114,0.04984279,0.16330272
-0.130717397,-0.404634714,-0.181221783
-0.497766733,-0.896570623,-0.517081559
-0.768186331,-1.127173424,-0.701839328
-0.846776545,-1.044733047,-0.797545135
-0.663042307,-0.604901731,-0.634743333
-0.277743995,0.011916608,-0.352954388
0.190295339,0.551907718,0.072176337
0.56488502,0.930807352,0.499094903
0.752896488,1.011284828,0.859372258
0.724698424,0.903102517,1.013674736
0.51649785,0.593613029,0.85261786
0.20133996,0.239992797,0.454072237
-0.166182637,-0.089581251,-0.115568757
-0.456186891,-0.393424034,-0.583998561
-0.622480452,-0.521651268,-0.828439355
-0.598086655,-0.572445869,-0.775397539
-0.430976808,-0.378178895,-0.445064127
-0.190764964,-0.132017076,0.010785148
0.049609989,0.092309356,0.422582924
0.213179111,0.178984702,0.631533742
0.289122403,0.07426995,0.583578944
0.248157918,-0.057419419,0.281701207
0.128365338,-0.207664073,-0.155791163
-0.019945215,-0.2360816,-0.462495506
-0.135406375,-0.15716362,-0.541687965
-0.159910977,0.019819215,-0.351561368
-0.12329632,0.168496132,-0.016113024
-0.042194918,0.23876965,0.269120574
0.036371708,0.233532012,0.406075478
0.075248837,0.180116236,0.393683076
0.065717101,0.154010177,0.269646406
0.012271866,0.149709523,0.113277793
-0.024030533,0.121102273,-0.051727258
-0.01987128,0.083998263,-0.157776058
-0.015743621,-0.060800299,-0.226354897
-0.056039371,-0.284473717,-0.222337306
-0.171126008,-0.540264904,-0.163616359
-0.295799613,-0.779861867,-0.172451615
-0.369986653,-0.866439342,-0.194464803
-0.358495653,-0.788582921,-0.268508852
-0.254285097,-0.469790757,-0.272334278
-0.138893425,-0.069828451,-0.182935655
-0.026050884,0.303250372,0.009792924
0.038285427,0.516176283,0.214413285
0.066864967,0.479942977,0.341204703
0.058412898,0.289160788,0.334311604
0.018618181,0.002422452,0.204977453
0.015467465,-0.158126712,0.023654684
0.044576619,-0.161899984,-0.164599061
0.125587463,-0.004583143,-0.207495034
0.175373197,0.173447549,-0.138004541
0.181592405,0.147188246,0.060486794
0.1395877,-0.009581707,0.249515533
0.049328759,-0.283013165,0.281567514
-0.025404781,-0.428349078,0.223331094
-0.074616969,-0.36527884,0.065962434
-0.018795282,-0.144134402,-0.040987447
0.092382312,0.197369993,-0.060683761
0.202443779,0.399826467,0.053628325
0.241827488,0.530460656,0.190998793
0.161661685,0.398581147,0.199174285
0.007498115,0.197223246,0.109453857
-0.169909537,-0.083247244,-0.137928724
-0.267460227,-0.343092918,-0.288171947
-0.26451081,-0.474280119,-0.357237279
-0.166885316,-0.540025234,-0.347396553
-0.034763131,-0.387518942,-0.267891049
0.066552103,-0.203112066,-0.218372226
0.169691384,0.076023161,-0.108223259
0.241827011,0.333513975,0.082271636
0.311093867,0.520634592,0.383022547
0.345589578,0.611019433,0.580611944
0.305913627,0.436213732,0.557140291
0.166499555,0.159387946,0.327116549
-0.035322949,-0.215917706,-0.050621286
-0.196280003,-0.427210569,-0.292699337
-0.259085238,-0.470561385,-0.423821509
-0.212755382,-0.356623352,-0.362953842
-0.13523829,-0.120007932,-0.231298089
-0.067348778,0.064954698,-0.091605306
-0.036513556,0.194535375,-0.006791666
-0.055562302,0.193865597,-0.009153783
-0.105612516,0.1159935,0.003797144
-0.167384982,-0.050505467,0.003345102
-0.184126735,-0.238436818,-3.42E-05
-0.133289695,-0.39086628,-0.035570949
